,Name,Team,Position,Height,Weight,Age
0,Adam_Donachie,BAL,Catcher,74,180.0,22.99
1,Paul_Bako,BAL,Catcher,74,215.0,34.69
2,Ramon_Hernandez,BAL,Catcher,72,210.0,30.78
3,Kevin_Millar,BAL,First_Baseman,72,210.0,35.43
4,Chris_Gomez,BAL,First_Baseman,73,188.0,35.71
5,Brian_Roberts,BAL,Second_Baseman,69,176.0,29.39
6,Miguel_Tejada,BAL,Shortstop,69,209.0,30.77
7,Melvin_Mora,BAL,Third_Baseman,71,200.0,35.07
8,Aubrey_Huff,BAL,Third_Baseman,76,231.0,30.19
9,Adam_Stern,BAL,Outfielder,71,180.0,27.05
10,Jeff_Fiorentino,BAL,Outfielder,73,188.0,23.88
11,Freddie_Bynum,BAL,Outfielder,73,180.0,26.96
12,Nick_Markakis,BAL,Outfielder,74,185.0,23.29
13,Brandon_Fahey,BAL,Outfielder,74,160.0,26.11
14,Corey_Patterson,BAL,Outfielder,69,180.0,27.55
15,Jay_Payton,BAL,Outfielder,70,185.0,34.27
16,Jay_Gibbons,BAL,Designated_Hitter,72,197.0,30.0
17,Erik_Bedard,BAL,Starting_Pitcher,73,189.0,27.99
18,Hayden_Penn,BAL,Starting_Pitcher,75,185.0,22.38
19,Adam_Loewen,BAL,Starting_Pitcher,78,219.0,22.89
20,Daniel_Cabrera,BAL,Starting_Pitcher,79,230.0,25.76
21,Steve_Trachsel,BAL,Starting_Pitcher,76,205.0,36.33
22,Jaret_Wright,BAL,Starting_Pitcher,74,230.0,31.17
23,Kris_Benson,BAL,Starting_Pitcher,76,195.0,32.31
24,Scott_Williamson,BAL,Relief_Pitcher,72,180.0,31.03
25,John_Parrish,BAL,Relief_Pitcher,71,192.0,29.26
26,Danys_Baez,BAL,Relief_Pitcher,75,225.0,29.47
27,Chad_Bradford,BAL,Relief_Pitcher,77,203.0,32.46
28,Jamie_Walker,BAL,Relief_Pitcher,74,195.0,35.67
29,Brian_Burres,BAL,Relief_Pitcher,73,182.0,25.89
30,Kurt_Birkins,BAL,Relief_Pitcher,74,188.0,26.55
31,James_Hoey,BAL,Relief_Pitcher,78,200.0,24.17
32,Sendy_Rleal,BAL,Relief_Pitcher,73,180.0,26.69
33,Chris_Ray,BAL,Relief_Pitcher,75,200.0,25.13
34,Jeremy_Guthrie,BAL,Relief_Pitcher,73,200.0,27.9
35,A.J._Pierzynski,CWS,Catcher,75,245.0,30.17
36,Toby_Hall,CWS,Catcher,75,240.0,31.36
37,Paul_Konerko,CWS,First_Baseman,74,215.0,30.99
38,Tadahito_Iguchi,CWS,Second_Baseman,69,185.0,32.24
39,Juan_Uribe,CWS,Shortstop,71,175.0,27.61
40,Alex_Cintron,CWS,Shortstop,74,199.0,28.2
41,Joe_Crede,CWS,Third_Baseman,73,200.0,28.85
42,Josh_Fields,CWS,Third_Baseman,73,215.0,24.21
43,Ryan_Sweeney,CWS,Outfielder,76,200.0,22.02
44,Brian_N._Anderson,CWS,Outfielder,74,205.0,24.97
45,Luis_Terrero,CWS,Outfielder,74,206.0,26.78
